CardID,R_Score,F_Score,M_Score,RFM_Segment,Segment
C0100000199,5,2,4,524,Other
C0100000343,2,5,5,255,Other
C0100000375,3,3,2,332,Other
C0100000482,4,3,2,432,Other
C0100000689,5,1,4,514,Other
C0100000789,5,2,5,525,Other
C0100000915,5,1,1,511,Apprentice
C0100001116,2,5,5,255,Other
C0100001139,2,3,3,233,Other
C0100001156,3,1,4,314,Other
C0100001244,1,2,3,123,Other
C0100001405,1,1,1,111,Other
C0100001916,4,4,3,443,Other
C0100002002,2,3,5,235,Other
C0100002206,4,3,3,433,Other
C0100002536,3,2,2,322,Other
C0100002691,2,1,3,213,Other
C0100003019,2,2,5,225,Other
C0100003346,3,3,4,334,Other
C0100003753,1,1,1,111,Other
C0100003760,1,1,1,111,Other
C0100004171,5,1,1,511,Apprentice
C0100004238,1,1,3,113,Other
C0100004264,5,4,4,544,Lovers
C0100004471,2,5,4,254,Other
C0100004535,2,1,4,214,Other
C0100005070,3,2,1,321,Other
C0100005091,2,2,1,221,Other
C0100005169,5,5,5,555,Soulmates
C0100005753,3,1,3,313,Other
C0100006171,2,1,5,215,Other
C0100006369,3,1,4,314,Other
C0100006506,5,2,2,522,Other
C0100006701,5,1,2,512,Other
C0100006744,2,5,5,255,Other
C0100006844,4,2,4,424,Other
C0100007186,4,3,4,434,Other
C0100007941,1,1,3,113,Other
C0100007981,5,3,5,535,Other
C0100008596,1,5,5,155,Ex-Lovers
C0100008975,4,5,5,455,Lovers
C0100009109,4,3,3,433,Other
C0100009974,4,3,2,432,Other
C0100010115,3,3,3,333,Other
C0100010135,4,4,5,445,Lovers
C0100010322,3,2,3,323,Other
C0100010381,5,2,3,523,Other
C0100010723,1,2,1,121,Other
C0100010871,1,2,2,122,Other
C0100010948,2,2,2,222,Other
C0100011031,2,1,3,213,Other
C0100011221,5,2,1,521,Other
C0100011448,3,2,3,323,Other
C0100011592,2,2,1,221,Other
C0100011730,4,2,3,423,Other
C0100011906,3,2,4,324,Other
C0100012379,2,1,1,211,Other
C0100012502,1,1,2,112,Other
C0100013115,1,1,1,111,Other
C0100014032,5,5,4,554,Lovers
C0100014088,3,1,3,313,Other
C0100014099,3,1,1,311,Other
C0100014531,4,1,2,412,Other
C0100014610,5,3,1,531,Other
C0100014706,3,5,5,355,Other
C0100015471,5,1,3,513,Other
C0100015705,1,1,1,111,Other
C0100015762,4,3,3,433,Other
C0100015958,4,2,3,423,Other
C0100016095,5,3,3,533,Other
C0100016556,4,2,4,424,Other
C0100016812,4,5,5,455,Lovers
C0100017888,2,2,5,225,Other
C0100018295,3,3,4,334,Other
C0100018557,2,1,1,211,Other
C0100018670,5,2,4,524,Other
C0100018798,4,2,2,422,Other
C0100018896,2,1,1,211,Other
C0100019102,4,3,4,434,Other
C0100019643,2,2,3,223,Other
C0100019754,2,2,1,221,Other
C0100019876,3,1,3,313,Other
C0100020034,5,5,5,555,Soulmates
C0100020376,5,1,5,515,Other
C0100020537,5,1,1,511,Apprentice
C0100023016,2,4,1,241,Other
C0100023305,1,1,2,112,Other
